symbol,name,type,currency,exchange
11B,11 Bit Studios S.A.,stock,PLN,GPW
AAPL,Apple Inc Common Stock,stock,USD,NASDAQ
AAVE/USD,Aave,crypto,USD,CRYPTO
ABBV,AbbVie Inc.,stock,USD,NYSE
ACN,Accenture plc,stock,USD,NYSE
ACP,Asseco Poland S.A.,stock,PLN,GPW
ADA/USD,Cardano,crypto,USD,CRYPTO
ADBE,Adobe Inc.,stock,USD,NASDAQ
ALE,Allegro.eu S.A.,stock,PLN,GPW
ALGO/USD,Algorand,crypto,USD,CRYPTO
ALR,Alior Bank S.A.,stock,PLN,GPW
AMAT,Applied Materials Inc.,stock,USD,NASDAQ
AMD,"Advanced Micro Devices, Inc.",stock,USD,NASDAQ
AMGN,Amgen Inc.,stock,USD,NASDAQ
AMZN,Amazon.com Inc.,stock,USD,NASDAQ
APR,Auto Partner S.A.,stock,PLN,GPW
APT/USD,Aptos,crypto,USD,CRYPTO
ARB/USD, Arbitrum,crypto,USD,CRYPTO
ASB,Asbisc Enterprises PLC,stock,PLN,GPW
AST,Astarta Holding PLC,stock,PLN,GPW
ATOM/USD,Cosmos,crypto,USD,CRYPTO
ATT,Grupa Azoty S.A.,stock,PLN,GPW
AVAX/USD,Avalanche,crypto,USD,CRYPTO
AVGO,Broadcom Inc.,stock,USD,NASDAQ
AXS/USD,Axie Infinity,crypto,USD,CRYPTO
BA,The Boeing Company,stock,USD,NYSE
BAC,Bank of America Corporation,stock,USD,NYSE
BCH/USD,Bitcoin Cash,crypto,USD,CRYPTO
BDX,Budimex S.A.,stock,PLN,GPW
BHW,Bank Handlowy w Warszawie S.A.,stock,PLN,GPW
BIO,Bioton S.A.,stock,PLN,GPW
BKNG,Booking Holdings Inc.,stock,USD,NASDAQ
BNB/USD,Binance Coin,crypto,USD,CRYPTO
BRK.B,Berkshire Hathaway Inc.,stock,USD,NYSE
BTC/USD,Bitcoin,crypto,USD,CRYPTO
CAT,Caterpillar Inc.,stock,USD,NYSE
CCC,CCC S.A.,stock,PLN,GPW
CDR,Cd Projekt S.A.,stock,PLN,GPW
CLN,Celon Pharma S.A.,stock,PLN,GPW
COIN,"Coinbase Global, Inc.",stock,USD,NASDAQ
COST,Costco Wholesale Corporation,stock,USD,NASDAQ
CPS,Cyfrowy Polsat S.A.,stock,PLN,GPW
CRM,Salesforce Inc.,stock,USD,NYSE
CRO/USD,Crypto.com Coin,crypto,USD,CRYPTO
CSCO,"Cisco Systems, Inc.",stock,USD,NASDAQ
CVX,Chevron Corporation,stock,USD,NYSE
DAI/USD,Dai,crypto,USD,CRYPTO
DAT,DataWalk S.A.,stock,PLN,GPW
DIS,The Walt Disney Company,stock,USD,NYSE
DNP,Dino Polska S.A.,stock,PLN,GPW
DOGE/USD,Dogecoin,crypto,USD,CRYPTO
DOT/USD,Dotcoin,crypto,USD,CRYPTO
DVL,Develia S.A.,stock,PLN,GPW
EGLD/USD,Elrond,crypto,USD,CRYPTO
ENA,Enea S.A.,stock,PLN,GPW
ETC/USD,Ethereum Classic,crypto,USD,CRYPTO
ETH/USD,Ethereum,crypto,USD,CRYPTO
EUR,Eurocash S.A.,stock,PLN,GPW
FIL/USD,Filecoin,crypto,USD,CRYPTO
FLOW/USD,Flow,crypto,USD,CRYPTO
GE,General Electric Company,stock,USD,NYSE
GOOGL,Alphabet Inc.,stock,USD,NASDAQ
GPW,Warsaw Stock Exchange,stock,PLN,GPW
GRT/USD,The Graph,crypto,USD,CRYPTO
GS,Goldman Sachs Group Inc.,stock,USD,NYSE
GTC,Getech Group PLC,stock,PLN,GPW
HBAR/USD,Hedera Hashgraph,crypto,USD,CRYPTO
HD,Home Depot Inc.,stock,USD,NYSE
HON,Honeywell International Inc.,stock,USD,NASDAQ
IBM,International Business Machines Corporation,stock,USD,NYSE
ING,ING Bank Slaski S.A.,stock,PLN,GPW
INTC,Intel Corporation,stock,USD,NASDAQ
ISRG,"Intuitive Surgical, Inc.",stock,USD,NASDAQ
JNJ,Johnson & Johnson,stock,USD,NYSE
JPM,JPMorgan Chase & Co.,stock,USD,NYSE
JSW,Jastrzębska Spółka Węglowa S.A.,stock,PLN,GPW
KCS/USD,KuCoin Shares,crypto,USD,CRYPTO
KER,Kernel Holding S.A.,stock,PLN,GPW
KGH,KGHM Polska Miedz S.A.,stock,PLN,GPW
KO,The Coca-Cola Company,stock,USD,NYSE
KRU,Kruk S.A.,stock,PLN,GPW
KTY,Grupa Kety S.A.,stock,PLN,GPW
LDO/USD,Lido DAO,crypto,USD,CRYPTO
LIN,Linde plc,stock,USD,NASDAQ
LINK/USD,Chainlink,crypto,USD,CRYPTO
LLY,Eli Lilly and Company,stock,USD,NYSE
LOW,Lowe's Companies Inc.,stock,USD,NYSE
LPP,LPP SA,stock,PLN,GPW
LTC/USD,Litecoin,crypto,USD,CRYPTO
LWB,Lubelski Wegiel Bogdanka S.A.,stock,PLN,GPW
MA,Mastercard Inc.,stock,USD,NYSE
MANA/USD,Decentraland,crypto,USD,CRYPTO
MARA,Mara Holdings Inc.,stock,USD,NASDAQ
MBK,mBank S.A.,stock,PLN,GPW
MCD,McDonald's Corporation,stock,USD,NYSE
META,"Meta Platforms, Inc. Class A Common Stock",stock,USD,NASDAQ
MIL,Bank Millennium S.A.,stock,PLN,GPW
MRK,"Merck & Co., Inc.",stock,USD,NYSE
MSFT,Microsoft Corp.,stock,USD,NASDAQ
NEAR/USD,NEAR Protocol,crypto,USD,CRYPTO
NEO/USD,NEO,crypto,USD,CRYPTO
NFLX,Netflix Inc.,stock,USD,NASDAQ
NKE,Nike Inc.,stock,USD,NYSE
NOW,ServiceNow Inc.,stock,USD,NYSE
NVDA,NVIDIA Corp,stock,USD,NASDAQ
OPL,Orange Polska S.A.,stock,PLN,GPW
PEO,Bank Pekao S.A.,stock,PLN,GPW
PEP,"PepsiCo, Inc.",stock,USD,NASDAQ
PG,The Procter & Gamble Company,stock,USD,NYSE
PGE,PGE S.A.,stock,PLN,GPW
PKN,Orlen S.A.,stock,PLN,GPW
PKO,Pko Bank Polski S.A.,stock,PLN,GPW
PKP,Pkp Cargo S.A.,stock,PLN,GPW
PLTR,Palantir Technologies Inc. Class A,stock,USD,NASDAQ
PM,Philip Morris International Inc.,stock,USD,NYSE
PYPL,PayPal Holdings Inc.,stock,USD,NASDAQ
PZU,Powszechny Zakład Ubezpieczeń S.A.,stock,PLN,GPW
QCOM,Qualcomm Inc.,stock,USD,NASDAQ
RIOT,"Riot Platforms, Inc.",stock,USD,NASDAQ
SAND/USD,The Sandbox,crypto,USD,CRYPTO
